main_id,refactor_id,local_fname,collection,empty_for_trnst
1881,1878,Frogs/English-MiamiMono/mleng2/31321413.xml,Frogs,neither
1880,1879,Frogs/English-MiamiMono/mleng2/31321414.xml,Frogs,neither
1876,1880,Frogs/English-MiamiMono/mleng2/31321319.xml,Frogs,neither
1879,1881,Frogs/English-MiamiMono/mleng2/31321347.xml,Frogs,neither
1882,1882,Frogs/English-MiamiMono/mleng2/31321445.xml,Frogs,neither
1883,1883,Frogs/English-MiamiMono/mleng2/31322043.xml,Frogs,neither
1884,1884,Frogs/English-MiamiMono/mleng2/31322047.xml,Frogs,neither
1885,1885,Frogs/English-MiamiMono/mleng2/31322238.xml,Frogs,neither
1886,1886,Frogs/English-MiamiMono/mleng2/31322239.xml,Frogs,neither
1888,1887,Frogs/English-MiamiMono/mleng2/31322241.xml,Frogs,neither
1887,1888,Frogs/English-MiamiMono/mleng2/31322240.xml,Frogs,neither
1890,1889,Frogs/English-MiamiMono/mleng2/31322243.xml,Frogs,neither
1889,1890,Frogs/English-MiamiMono/mleng2/31322242.xml,Frogs,neither
1891,1891,Frogs/English-MiamiMono/mleng2/31322262.xml,Frogs,neither
1892,1892,Frogs/English-MiamiMono/mleng2/31322273.xml,Frogs,neither
1894,1893,Frogs/English-MiamiMono/mleng2/31322535.xml,Frogs,neither
1893,1894,Frogs/English-MiamiMono/mleng2/31322317.xml,Frogs,neither
1895,1895,Frogs/English-MiamiMono/mleng2/31322536.xml,Frogs,neither
1896,1896,Frogs/English-MiamiMono/mleng2/31322578.xml,Frogs,neither
1898,1897,Frogs/English-MiamiMono/mleng2/32321499.xml,Frogs,neither
1901,1898,Frogs/English-MiamiMono/mleng2/32322025.xml,Frogs,neither
1900,1899,Frogs/English-MiamiMono/mleng2/32322011.xml,Frogs,neither
1899,1900,Frogs/English-MiamiMono/mleng2/32322012.xml,Frogs,neither
1897,1901,Frogs/English-MiamiMono/mleng2/32321498.xml,Frogs,neither
1902,1902,Frogs/English-MiamiMono/mleng2/32322038.xml,Frogs,neither
1904,1903,Frogs/English-MiamiMono/mleng2/32322044.xml,Frogs,neither
1903,1904,Frogs/English-MiamiMono/mleng2/32322039.xml,Frogs,neither
1905,1905,Frogs/English-MiamiMono/mleng2/32322109.xml,Frogs,neither
1906,1906,Frogs/English-MiamiMono/mleng2/32322110.xml,Frogs,neither
1907,1907,Frogs/English-MiamiMono/mleng2/32322119.xml,Frogs,neither
1909,1908,Frogs/English-MiamiMono/mleng2/32322126.xml,Frogs,neither
1912,1909,Frogs/English-MiamiMono/mleng2/32322150.xml,Frogs,neither
1908,1910,Frogs/English-MiamiMono/mleng2/32322120.xml,Frogs,neither
1910,1911,Frogs/English-MiamiMono/mleng2/32322257.xml,Frogs,neither
1911,1912,Frogs/English-MiamiMono/mleng2/32322258.xml,Frogs,neither
1913,1913,Frogs/English-MiamiMono/mleng2/32322264.xml,Frogs,neither
1914,1914,Frogs/English-MiamiMono/mleng2/32322282.xml,Frogs,neither
