language,639-3,639-1,models,model type,size_mb,pipeline
Chinese,zho,zh,zh_core_web_lg,web,577,"tok2vec, tagger, parser, ner, attribute_ruler"
Danish,dan,da,da_core_news_lg,news,547,"tok2vec, morphologizer, parser, ner, attribute_ruler, lemmatizer"
Dutch,nld,nl,nl_core_news_lg,news,546,"tok2vec, morphologizer, tagger, parser, ner, attribute_ruler, lemmatizer"
English,eng,en,en_core_web_lg,web,742,"tok2vec, tagger, parser, ner, attribute_ruler, lemmatizer"
French,fra,fr,fr_core_news_lg,news,546,"tok2vec, morphologizer, parser, ner, attribute_ruler, lemmatizer"
German,deu,de,de_core_news_lg,news,546,"tok2vec, tagger, morphologizer, parser, ner, attribute_ruler, lemmatizer"
Greek,ell,el,el_core_news_lg,news,544,"tok2vec, morphologizer, parser, ner, attribute_ruler, lemmatizer"
Italian,ita,it,it_core_news_lg,news,545,"tok2vec, morphologizer, tagger, parser, ner, attribute_ruler, lemmatizer"
Japanese,jpn,ja,ja_core_news_lg,news,531,"tok2vec, parser, ner, attribute_ruler"
Lithuanian,lit,lt,lt_core_news_lg,news,545,"tok2vec, morphologizer, tagger, parser, ner, attribute_ruler, lemmatizer"
Macedonian,mkd,mk,mk_core_news_lg,news,312,"morphologizer, parser, ner, attribute_ruler, lemmatizer"
Norwegian Bokmål,nor,nb,nb_core_news_lg,news,547,"tok2vec, morphologizer, parser, senter, ner, attribute_ruler, lemmatizer"
Polish,pol,pl,pl_core_news_lg,news,584,"tok2vec, morphologizer, parser, tagger, ner, attribute_ruler, lemmatizer"
Portuguese,por,pt,pt_core_news_lg,news,551,"tok2vec, morphologizer, parser, ner, attribute_ruler, lemmatizer"
Romanian,ron,ro,ro_core_news_lg,news,546,"tok2vec, tagger, parser, senter, ner, attribute_ruler, lemmatizer"
Russian,rus,ru,ru_core_news_lg,news,491,"tok2vec, morphologizer, parser, senter, ner, attribute_ruler, lemmatizer"
Spanish,spa,es,es_core_news_lg,news,543,"tok2vec, morphologizer, parser, senter, ner, attribute_ruler, lemmatizer"
